
        Observed and Forecast Stages for (BRKM2)

Observed Data:
|Date(UTC)| 	|Stage| 	|--Flow-|
07/25 15:45 	3.10ft 	3.4kcfs
07/25 15:30 	3.09ft 	3.34kcfs
07/25 15:15 	3.10ft 	3.4kcfs
07/25 15:00 	3.11ft 	3.45kcfs
07/25 14:45 	3.11ft 	3.45kcfs
07/25 14:30 	3.10ft 	3.4kcfs
07/25 14:15 	3.12ft 	3.51kcfs
07/25 14:00 	3.12ft 	3.51kcfs
07/25 13:45 	3.11ft 	3.45kcfs
07/25 13:30 	3.12ft 	3.51kcfs
07/25 13:15 	3.13ft 	3.56kcfs
07/25 13:00 	3.12ft 	3.51kcfs
07/25 12:45 	3.12ft 	3.51kcfs
07/25 12:30 	3.14ft 	3.62kcfs
07/25 12:15 	3.14ft 	3.62kcfs
07/25 12:00 	3.14ft 	3.62kcfs
07/25 11:45 	3.14ft 	3.62kcfs
07/25 11:30 	3.14ft 	3.62kcfs
07/25 11:15 	3.14ft 	3.62kcfs
07/25 11:00 	3.15ft 	3.68kcfs
07/25 10:45 	3.15ft 	3.68kcfs
07/25 10:30 	3.16ft 	3.74kcfs
07/25 10:15 	3.15ft 	3.68kcfs
07/25 10:00 	3.16ft 	3.74kcfs
07/25 09:45 	3.16ft 	3.74kcfs
07/25 09:30 	3.16ft 	3.74kcfs
07/25 09:15 	3.17ft 	3.8kcfs
07/25 09:00 	3.18ft 	3.86kcfs
07/25 08:45 	3.18ft 	3.86kcfs
07/25 08:30 	3.18ft 	3.86kcfs
07/25 08:15 	3.18ft 	3.86kcfs
07/25 08:00 	3.19ft 	3.92kcfs
07/25 07:45 	3.20ft 	3.98kcfs
07/25 07:30 	3.20ft 	3.98kcfs
07/25 07:15 	3.20ft 	3.98kcfs
07/25 07:00 	3.21ft 	4.04kcfs
07/25 06:45 	3.21ft 	4.04kcfs
07/25 06:30 	3.22ft 	4.1kcfs
07/25 06:15 	3.22ft 	4.1kcfs
07/25 06:00 	3.23ft 	4.17kcfs
07/25 05:45 	3.22ft 	4.1kcfs
07/25 05:30 	3.22ft 	4.1kcfs
07/25 05:15 	3.23ft 	4.17kcfs
07/25 05:00 	3.23ft 	4.17kcfs
07/25 04:45 	3.24ft 	4.23kcfs
07/25 04:30 	3.23ft 	4.17kcfs
07/25 04:15 	3.24ft 	4.23kcfs
07/25 04:00 	3.23ft 	4.17kcfs
07/25 03:45 	3.24ft 	4.23kcfs
07/25 03:30 	3.24ft 	4.23kcfs
07/25 03:15 	3.25ft 	4.29kcfs
07/25 03:00 	3.26ft 	4.35kcfs
07/25 02:45 	3.25ft 	4.29kcfs
07/25 02:30 	3.26ft 	4.35kcfs
07/25 02:15 	3.27ft 	4.42kcfs
07/25 02:00 	3.27ft 	4.42kcfs
07/25 01:45 	3.28ft 	4.48kcfs
07/25 01:30 	3.30ft 	4.61kcfs
07/25 01:15 	3.27ft 	4.42kcfs
07/25 01:00 	3.28ft 	4.48kcfs
07/25 00:45 	3.28ft 	4.48kcfs
07/25 00:30 	3.28ft 	4.48kcfs
07/25 00:15 	3.28ft 	4.48kcfs
07/25 00:00 	3.28ft 	4.48kcfs
07/24 23:45 	3.29ft 	4.55kcfs
07/24 23:30 	3.29ft 	4.55kcfs
07/24 23:15 	3.30ft 	4.61kcfs
07/24 23:00 	3.31ft 	4.68kcfs
07/24 22:45 	3.31ft 	4.68kcfs
07/24 22:30 	3.31ft 	4.68kcfs
07/24 22:15 	3.31ft 	4.68kcfs
07/24 22:00 	3.32ft 	4.74kcfs
07/24 21:45 	3.33ft 	4.81kcfs
07/24 21:30 	3.30ft 	4.61kcfs
07/24 21:15 	3.31ft 	4.68kcfs
07/24 21:00 	3.31ft 	4.68kcfs
07/24 20:45 	3.32ft 	4.74kcfs
07/24 20:30 	3.32ft 	4.74kcfs
07/24 20:15 	3.33ft 	4.81kcfs
07/24 20:00 	3.32ft 	4.74kcfs
07/24 19:45 	3.33ft 	4.81kcfs
07/24 19:30 	3.33ft 	4.81kcfs
07/24 19:15 	3.34ft 	4.87kcfs
07/24 19:00 	3.34ft 	4.87kcfs
07/24 18:45 	3.34ft 	4.87kcfs
07/24 18:30 	3.34ft 	4.87kcfs
07/24 18:15 	3.35ft 	4.94kcfs
07/24 18:00 	3.35ft 	4.94kcfs
