date_time,stage,flow,type
7/25/2017 15:45,3.10ft ,3.4kcfs,observed
7/25/2017 15:30,3.09ft ,3.34kcfs,observed
7/25/2017 15:15,3.10ft ,3.4kcfs,observed
7/25/2017 15:00,3.11ft ,3.45kcfs,observed
7/25/2017 14:45,3.11ft ,3.45kcfs,observed
7/25/2017 14:30,3.10ft ,3.4kcfs,observed
7/25/2017 14:15,3.12ft ,3.51kcfs,observed
7/25/2017 14:00,3.12ft ,3.51kcfs,observed
7/25/2017 13:45,3.11ft ,3.45kcfs,observed
7/25/2017 13:30,3.12ft ,3.51kcfs,observed
7/25/2017 13:15,3.13ft ,3.56kcfs,observed
7/25/2017 13:00,3.12ft ,3.51kcfs,observed
7/25/2017 12:45,3.12ft ,3.51kcfs,observed
7/25/2017 12:30,3.14ft ,3.62kcfs,observed
7/25/2017 12:15,3.14ft ,3.62kcfs,observed
7/25/2017 12:00,3.14ft ,3.62kcfs,observed
7/25/2017 11:45,3.14ft ,3.62kcfs,observed
7/25/2017 11:30,3.14ft ,3.62kcfs,observed
7/25/2017 11:15,3.14ft ,3.62kcfs,observed
7/25/2017 11:00,3.15ft ,3.68kcfs,observed
7/25/2017 10:45,3.15ft ,3.68kcfs,observed
7/25/2017 10:30,3.16ft ,3.74kcfs,observed
7/25/2017 10:15,3.15ft ,3.68kcfs,observed
7/25/2017 10:00,3.16ft ,3.74kcfs,observed
7/25/2017 9:45,3.16ft ,3.74kcfs,observed
7/25/2017 9:30,3.16ft ,3.74kcfs,observed
7/25/2017 9:15,3.17ft ,3.8kcfs,observed
7/25/2017 9:00,3.18ft ,3.86kcfs,observed
7/25/2017 8:45,3.18ft ,3.86kcfs,observed
7/25/2017 8:30,3.18ft ,3.86kcfs,observed
7/25/2017 8:15,3.18ft ,3.86kcfs,observed
7/25/2017 8:00,3.19ft ,3.92kcfs,observed
7/25/2017 7:45,3.20ft ,3.98kcfs,observed
7/25/2017 7:30,3.20ft ,3.98kcfs,observed
7/25/2017 7:15,3.20ft ,3.98kcfs,observed
7/25/2017 7:00,3.21ft ,4.04kcfs,observed
7/25/2017 6:45,3.21ft ,4.04kcfs,observed
7/25/2017 6:30,3.22ft ,4.1kcfs,observed
7/25/2017 6:15,3.22ft ,4.1kcfs,observed
7/25/2017 6:00,3.23ft ,4.17kcfs,observed
7/25/2017 5:45,3.22ft ,4.1kcfs,observed
7/25/2017 5:30,3.22ft ,4.1kcfs,observed
7/25/2017 5:15,3.23ft ,4.17kcfs,observed
7/25/2017 5:00,3.23ft ,4.17kcfs,observed
7/25/2017 4:45,3.24ft ,4.23kcfs,observed
7/25/2017 4:30,3.23ft ,4.17kcfs,observed
7/25/2017 4:15,3.24ft ,4.23kcfs,observed
7/25/2017 4:00,3.23ft ,4.17kcfs,observed
7/25/2017 3:45,3.24ft ,4.23kcfs,observed
7/25/2017 3:30,3.24ft ,4.23kcfs,observed
7/25/2017 3:15,3.25ft ,4.29kcfs,observed
7/25/2017 3:00,3.26ft ,4.35kcfs,observed
7/25/2017 2:45,3.25ft ,4.29kcfs,observed
7/25/2017 2:30,3.26ft ,4.35kcfs,observed
7/25/2017 2:15,3.27ft ,4.42kcfs,observed
7/25/2017 2:00,3.27ft ,4.42kcfs,observed
7/25/2017 1:45,3.28ft ,4.48kcfs,observed
7/25/2017 1:30,3.30ft ,4.61kcfs,observed
7/25/2017 1:15,3.27ft ,4.42kcfs,observed
7/25/2017 1:00,3.28ft ,4.48kcfs,observed
7/25/2017 0:45,3.28ft ,4.48kcfs,observed
7/25/2017 0:30,3.28ft ,4.48kcfs,observed
