date,wa_greatfalls,wa_littlefalls,fw_potomac_prod,fw_griffith_prod,wssc_potomac_prod,wssc_patuxent_prod
2017-01-01,138,6,73,56,116,45
2017-01-02,139,7,73,56,116,45
2017-01-03,140,7,73,56,116,44
2017-01-04,141,8,74,56,117,44
2017-01-05,141,9,74,56,118,44
2017-01-06,141,10,75,56,118,44
2017-01-07,141,11,75,56,119,44
2017-01-08,141,12,75,56,119,44
2017-01-09,141,14,75,56,119,44
2017-01-10,142,14,75,56,118,44
2017-01-11,142,14,75,56,117,45
2017-01-12,142,15,75,55,117,45
2017-01-13,142,15,75,55,116,45
2017-01-14,142,16,75,55,116,46
2017-01-15,142,15,75,55,115,46
2017-01-16,143,15,75,55,115,46
2017-01-17,144,13,75,55,114,47
2017-01-18,145,12,74,56,114,47
2017-01-19,147,11,74,56,114,47
2017-01-20,148,10,74,56,114,47
2017-01-21,148,10,74,56,114,48
2017-01-22,149,9,74,56,114,48
2017-01-23,150,8,74,56,115,48
2017-01-24,150,8,74,57,116,48
2017-01-25,151,9,74,56,116,48
2017-01-26,151,9,74,56,116,49
2017-01-27,151,9,74,56,116,49
2017-01-28,151,9,74,56,116,49
2017-01-29,152,9,74,56,116,49
2017-01-30,152,8,74,55,116,49
2017-01-31,153,8,74,55,115,50
2017-02-01,154,7,75,54,115,50
2017-02-02,154,7,75,54,114,50
2017-02-03,155,6,75,54,113,50
2017-02-04,155,6,75,54,113,50
2017-02-05,156,5,75,54,113,50
2017-02-06,156,6,74,54,113,49
2017-02-07,156,6,74,54,113,50
2017-02-08,155,7,74,54,113,50
2017-02-09,154,7,74,54,113,49
2017-02-10,153,8,73,54,113,49
2017-02-11,152,9,72,55,113,49
2017-02-12,151,9,72,55,114,48
2017-02-13,149,10,72,55,114,48
2017-02-14,147,11,71,55,115,47
2017-02-15,145,13,71,55,115,47
2017-02-16,143,14,71,56,114,47
2017-02-17,141,15,71,56,114,47
2017-02-18,141,15,71,56,114,47
2017-02-19,138,17,71,56,114,47
2017-02-20,137,18,70,56,114,47
2017-02-21,137,18,71,56,114,47
2017-02-22,135,19,70,56,113,47
2017-02-23,135,20,70,56,113,48
2017-02-24,134,21,70,56,113,48
2017-02-25,134,21,70,56,113,48
2017-02-26,134,21,70,56,113,48
2017-02-27,134,22,70,56,113,48
2017-02-28,133,22,70,56,113,48
2017-03-01,134,22,70,56,113,48
2017-03-02,134,21,70,55,113,48
2017-03-03,134,21,70,55,113,47
2017-03-04,134,20,70,55,113,47
2017-03-05,136,18,71,55,113,47
2017-03-06,137,17,71,55,113,47
2017-03-07,137,16,72,55,113,47
2017-03-08,137,15,72,55,113,47
2017-03-09,137,15,72,55,113,47
2017-03-10,138,15,72,55,113,47
2017-03-11,138,15,72,55,113,47
2017-03-12,138,15,72,55,113,47
2017-03-13,138,14,73,55,113,47
2017-03-14,139,14,72,55,113,47
2017-03-15,138,15,72,56,113,48
2017-03-16,138,16,72,56,112,48
2017-03-17,140,15,72,56,111,48
2017-03-18,140,14,72,56,111,48
2017-03-19,142,13,71,57,111,48
2017-03-20,142,13,72,56,112,49
2017-03-21,143,12,71,56,111,49
2017-03-22,145,10,72,56,111,49
2017-03-23,145,9,71,56,110,49
2017-03-24,145,9,71,56,110,49
2017-03-25,146,8,72,56,110,49
2017-03-26,147,7,72,56,110,49
2017-03-27,147,7,72,56,111,49
2017-03-28,147,7,72,56,111,49
2017-03-29,147,6,72,56,111,49
2017-03-30,147,6,72,56,111,48
2017-03-31,147,6,72,56,111,48
2017-04-01,147,7,72,56,111,48
2017-04-02,147,7,73,56,112,47
2017-04-03,148,7,73,56,113,47
2017-04-04,147,7,73,56,113,47
2017-04-05,146,8,73,56,114,46
2017-04-06,145,9,74,56,115,46
2017-04-07,144,10,75,57,115,46
2017-04-08,145,10,75,57,115,46
2017-04-09,145,10,76,57,116,46
2017-04-10,145,10,76,57,116,46
2017-04-11,145,10,77,57,116,46
2017-04-12,145,10,77,57,116,46
2017-04-13,144,11,77,57,116,46
2017-04-14,145,10,78,57,116,46
2017-04-15,146,10,79,57,117,46
2017-04-16,147,9,79,58,117,46
2017-04-17,149,8,80,58,117,46
2017-04-18,149,8,80,58,117,46
2017-04-19,149,9,81,58,118,46
2017-04-20,150,9,82,58,118,47
2017-04-21,150,9,82,58,119,47
2017-04-22,151,8,82,58,119,46
2017-04-23,151,8,82,58,119,46
2017-04-24,152,8,83,59,120,46
2017-04-25,152,8,83,59,120,46
2017-04-26,151,9,83,59,120,46
2017-04-27,151,9,83,59,121,46
2017-04-28,151,9,83,59,120,46
2017-04-29,151,8,83,59,121,46
2017-04-30,151,8,84,59,121,46
2017-05-01,151,8,84,59,122,45
2017-05-02,151,8,85,60,123,45
2017-05-03,153,8,86,60,123,45
2017-05-04,152,9,86,61,124,45
2017-05-05,153,8,87,61,125,45
2017-05-06,154,8,88,61,125,45
