date_time,x1646500,x1645000,x1644000,x1643000,x1638500,x1636500,x1619500,x1616500,x1614500,x1613000,x1611500,x1610155,x1610000,x1609000,x1608500,x1604500,x1603000,x1601500,x1598500,x1595800,x1597500,x1595500,x1596500
2017-04-01 0:00,20700,608,1560,5000,12700,1860,326,883,1240,7890,778,613,8280,724,2180,645,4030,1190,1760,1170,422,1820,320
2017-04-01 1:00,20800,563,1560,5400,12700,1870,313,975,1280,8100,797,608,8440,724,2230,650,4030,1180,1750,1160,422,1880,303
2017-04-01 2:00,20700,515,1520,5760,12700,1880,304,1040,1300,8310,829,594,8590,720,2270,666,4010,1160,1750,1160,422,1910,311
2017-04-01 3:00,20700,506,1460,6040,12700,1900,300,1090,1280,8530,875,589,8720,709,2320,666,4000,1170,1760,1170,422,1930,329
2017-04-01 4:00,20700,497,1400,6200,12700,1920,300,1120,1260,8720,930,584,8790,695,2390,661,3990,1180,1750,1170,422,1940,329
2017-04-01 5:00,20700,484,1320,6240,12800,1950,309,1110,1240,9010,1010,579,8850,677,2460,656,3970,1190,1760,1170,422,1910,329
2017-04-01 6:00,20500,462,1240,6200,12800,1980,326,1080,1210,9230,1130,575,8890,662,2540,656,3970,1200,1740,1170,422,1900,329
2017-04-01 7:00,20500,449,1180,6040,12900,2020,344,1040,1190,9510,1270,575,8940,652,2640,645,3970,1210,1750,1170,477,1880,339
2017-04-01 8:00,20500,431,1130,5800,13000,2070,362,988,1190,9780,1410,570,8960,641,2750,645,3970,1250,1830,1170,477,1860,353
2017-04-01 9:00,20500,418,1080,5500,13100,2170,376,938,1170,10000,1510,570,9000,634,2860,645,3990,1260,1810,1410,482,1840,348
2017-04-01 10:00,20700,404,1040,5160,13200,2300,381,898,1160,10300,1600,565,9020,634,2960,645,4000,1250,1870,1510,482,1820,348
2017-04-01 11:00,20700,400,989,4830,13300,2450,386,861,1140,10600,1670,560,9070,634,3110,639,3970,1230,2170,1470,626,1790,348
2017-04-01 12:00,20900,391,961,4510,13600,2600,391,827,1140,10800,1740,560,9150,638,3280,629,3950,1210,2270,1460,621,1770,348
2017-04-01 13:00,21200,391,933,4200,13800,2780,381,803,1150,11000,1800,556,9220,634,3420,623,3920,1230,2250,1470,626,1740,348
2017-04-01 14:00,21300,386,905,3920,14300,2990,376,772,1160,11200,1850,551,9320,624,3560,618,3920,1200,2270,1460,621,1710,348
2017-04-01 15:00,21300,377,870,3670,14700,3260,372,747,1160,11300,1880,542,9430,620,3650,613,3880,1200,2270,1460,632,1680,363
2017-04-01 16:00,21500,368,852,3470,15200,3420,362,723,1170,11400,1890,532,9550,607,3720,602,3880,1190,2290,1460,626,1650,372
2017-04-01 17:00,21500,355,835,3280,15700,3620,358,701,1160,11500,1900,528,9680,596,3790,597,3910,1190,2290,1460,626,1620,339
2017-04-01 18:00,21700,347,809,3110,16300,3730,353,686,1160,11600,1920,518,9780,589,3810,592,3960,1190,2270,1460,621,1590,372
2017-04-01 19:00,21700,342,785,2960,16800,3800,349,668,1140,11600,1930,509,9870,582,3850,582,4080,1180,2250,1460,632,1560,363.0000001
2017-04-01 20:00,21700,333,768,2840,17500,3840,344,652,1130,11700,1960,505,9930,575,3880,577,4190,1180,2290,1460,621,1530,343
2017-04-01 21:00,21700,323,752,2730,18000,3860,340,634,1120,11700,1990,495,9970,564,3890,572,4270,1190,2250,1470,632,1500,339
2017-04-01 22:00,21700,309,736,2620,18400,3860,335,622,1100,11800,2030,486,9970,557,3920,567,4280,1180,2250,1460,621,1480,339
2017-04-01 23:00,21700,295,721,2530,18700,3860,331,604,1090,11900,2060,477,10000,550,3940,562,4290,1170,2250,1460,632,1440,328.9999999
2017-04-02 0:00,21700,286,705,2450,19000,3860,322,588,1080,12100,2080,468,10000,543,3980,551,4290,1180,2270,1460,637,1420,328.9999999
2017-04-02 1:00,21600,276,690,2370,19300,3840,317,573,1060,12200,2090,459,10100,532,4020,546,4290,1160,2260,1460,632,1400,320
2017-04-02 2:00,21700,270,682,2300,19500,3820,313,561,1050,12300,2100,455,10100,525,4050,540,4280,1170,2260,1470,626,1370,343.0000001
2017-04-02 3:00,21900,265,675,2240,19700,3800,309,546,1040,12400,2100,446,10200,518,4090,534,4280,1160,2260,1460,626,1350,320
2017-04-02 4:00,21900,255,660,2180,19900,3760,309,533,1030,12500,2100,437,10300,512,4100,529,4270,1160,2260,1470,621,1330,319.9999999
2017-04-02 5:00,22100,250,652,2130,20000,3740,304,521,1020,12600,2100,433,10300,505,4110,523,4270,1150,2260,1460,626,1310,311
2017-04-02 6:00,22400,235,637,2070,20200,3730,300,506,1000,12600,2090,424,10300,501,4100,523,4240,1160,2240,1460,621,1290,320.0000001
2017-04-02 7:00,22500,229,622,2020,20300,3710,296,494,997,12700,2080,420,10400,495,4090,512,4240,1140,2250,1460,632,1280,311
2017-04-02 8:00,22800,224,615,1990,20500,3710,296,486,990,12700,2080,411,10400,488,4050,507,4230,1140,2240,1470,626,1260,311
2017-04-02 9:00,22900,235,607,1940,20600,3730,292,478,984,12700,2070,403,10400,481,4020,507,4220,1140,2250,1460,626,1240,328.9999999
2017-04-02 10:00,23100,235,600,1910,20700,3740,288,469,971,12700,2040,399,10300,475,3990,501,4200,1140,2250,1460,626,1230,294
2017-04-02 11:00,23400,219,592,1880,20700,3760,288,461,964,12700,2030,390,10300,468,3960,496,4200,1130,2250,1460,632,1210,285
2017-04-02 12:00,23500,224,584,1840,20800,3780,283,450,952,12700,2010,382,10200,465,3920,496,4190,1110,2260,1450,621,1200,285
2017-04-02 13:00,23600,229,569,1810,20800,3800,279,445,939,12800,2000,378,10200,455,3860,491,4170,1110,2250,1460,621,1180,285
2017-04-02 14:00,23900,235,569,1790,20900,3820,279,440,933,12800,1980,369,10100,452,3830,491,4170,1100,2250,1460,626,1170,285.0000001
2017-04-02 15:00,23900,229,562,1760,20900,3820,275,432,920,12800,1970,365,10000,449,3800,485,4140,1100,2250,1460,626,1150,277
2017-04-02 16:00,24100,224,554,1730,21100,3800,275,424,908,12800,1960,361,9990,439,3760,485,4140,1090,2240,1460,626,1140,277
2017-04-02 17:00,24200,219,547,1700,21100,3780,275,416,908,12700,1930,353,9910,436,3720,475,4130,1070,2250,1460,626,1140,285
2017-04-02 18:00,24200,219,539,1680,21100,3780,271,409,902,12700,1920,349,9850,430,3670,475,4110,1080,2250,1460,626,1120,269.0000001
2017-04-02 19:00,24200,208,539,1650,21200,3760,275,403,895,12700,1890,345,9800,427,3640,470,4100,1070,2230,1460,637,1110,269
2017-04-02 20:00,24200,208,532,1630,21200,3760,275,401,895,12600,1880,337,9740,424,3600,465,4090,1060,2240,1460,626,1110,249
2017-04-02 21:00,24300,203,525,1610,21200,3760,271,396,883,12500,1860,333,9660,417,3570,465,4080,1040,2260,1460,632,1100,249
2017-04-02 22:00,24200,203,525,1590,21200,3760,271,391,877,12500,1840,329,9600,414,3540,460,4050,1040,2250,1460,632,1080,260.9999999
2017-04-02 23:00,24300,203,518,1560,21200,3760,271,386,877,12400,1820,321,9530,408,3490,455,4040,1020,2260,1460,632,1080,248.9999999
2017-04-03 0:00,24300,203,512,1540,21200,3780,271,381,871,12300,1800,317,9470,405,3460,450,4030,1020,2240,1450,626,1060,245
2017-04-03 1:00,24300,203,505,1520,21200,3800,271,378,865,12200,1790,313,9410,402,3420,450,4010,1010,2230,1460,626,1050,236.9999999
2017-04-03 2:00,24300,198,505,1500,21200,3820,271,376,865,12100,1770,309,9340,396,3390,445,4000,1000,2230,1460,626,1050,249
2017-04-03 3:00,24300,188,498,1480,21200,3820,268,371,853,12000,1750,305,9280,396,3350,445,3990,994,2250,1470,626,1040,237.0000001
2017-04-03 4:00,24300,161,492,1460,21200,3840,268,368,847,11900,1740,301,9200,390,3330,440,3970,978,2230,1460,626,1030,225
2017-04-03 5:00,24500,156,492,1440,21200,3840,264,366,841,11800,1720,294,9150,384,3290,440,3970,970,2240,1460,626,1020,225
2017-04-03 6:00,24300,142,492,1430,21200,3840,264,361,835,11700,1700,294,9070,381,3260,435,3950,962,2230,1450,626,1020,236.9999999
2017-04-03 7:00,24300,138,485,1420,21200,4240,264,356,835,11600,1680,286,9020,378,3230,435,3940,962,2210,1450,626,1010,217
2017-04-03 8:00,24300,133,479,1390,21100,3990,264,356,835,11500,1670,286,8960,372,3210,430,3920,954,2240,1450,626,1000,225.0000001
2017-04-03 9:00,24200,129,479,1390,21100,3870,264,351,823,11400,1650,279,8900,369,3170,430,3910,946,2210,1460,626,993,217
2017-04-03 10:00,24300,138,473,1380,21200,3840,264,349,823,11300,1630,279,8850,367,3140,425,3900,946,2230,1450,621,993,210
2017-04-03 11:00,24200,129,466,1360,21100,3820,264,346,811,11300,1620,275,8770,364,3110,425,3880,930,2210,1460,477.0000004,979,203
2017-04-03 12:00,24200,133,466,1350,21100,3800,264,342,817,11200,1600,271,8720,361,3090,420,3870,930,2080,1460,477,979,217.0000001
2017-04-03 13:00,24300,129,466,1340,20900,3800,264,342,800,11100,1580,267,8680,358,3050,420,3870,922,2100,1460,477,972,203
2017-04-03 14:00,24200,129,466,1320,20800,3780,261,342,800,11000,1570,264,8630,355,3030,416,3850,922,2100,1440,477,965.0000001,210.0000001
2017-04-03 15:00,24100,126,454,1320,20700,3780,261,337,800,10900,1550,260,8570,352,2990,416,3840,907,2080,1460,472,958,195.9999999
2017-04-03 16:00,24100,123,454,1300,20600,3800,261,337,794,10800,1540,256,8520,349,2960,416,3820,907,2120,1440,477,958,196
2017-04-03 17:00,24100,120,449,1290,20500,3820,261,327,788,10800,1520,253,8460,346,2930,406,3810,891,2100,1450,477,950,196.0000001
2017-04-03 18:00,24100,120,449,1280,20400,3860,257,327,788,10700,1510,253,8430,346,2920,406,3820,891,2080,1460,477,950,195.9999999
2017-04-03 19:00,24100,120,449,1270,20300,3870,257,322,788,10600,1490,253,8370,344,2900,406,3810,891,2080,1450,472,950,196.0000001
2017-04-03 20:00,24100,123,449,1270,20300,3910,261,317,782,10500,1470,249,8350,341,2870,406,3770,899,2070,1450,477,943.0000001,188.9999999
2017-04-03 21:00,23900,123,449,1260,20200,3950,261,317,788,10500,1460,249,8300,341,2860,402,3740,899,2110,1450,477,943,188.9999999
2017-04-03 22:00,23900,123,443,1250,20100,4010,261,313,788,10400,1440,245,8260,341,2840,402,3690,914,2080,1450,472,936.0000001,196
2017-04-03 23:00,23800,126,443,1250,20000,4020,261,313,782,10300,1440,245,8230,338,2820,397,3690,922,2100,1450,477,936,189
2017-04-04 0:00,23600,129,443,1250,19900,4060,261,313,788,10300,1420,245,8170,338,2790,397,3680,930,2080,1450,472,936,196
2017-04-04 1:00,23600,129,443,1240,19800,4080,261,313,776,10200,1400,242,8150,338,2770,397,3690,930,2070,1460,472,929,189.0000001
2017-04-04 2:00,23600,129,443,1240,19800,4120,257,310,782,10100,1390,242,8100,335,2750,392,3690,930,2100,1450,472,929,196
