dayofyear,wa_greatfalls,wa_littlefalls,fw_potomac_prod,fw_griffith_prod,wssc_potomac_prod,wssc_patuxent_prod
1,138,6,73,56,116,45
2,139,7,73,56,116,45
3,140,7,73,56,116,44
4,141,8,74,56,117,44
5,141,9,74,56,118,44
6,141,10,75,56,118,44
7,141,11,75,56,119,44
8,141,12,75,56,119,44
9,141,14,75,56,119,44
10,142,14,75,56,118,44
11,142,14,75,56,117,45
12,142,15,75,55,117,45
13,142,15,75,55,116,45
14,142,16,75,55,116,46
15,142,15,75,55,115,46
16,143,15,75,55,115,46
17,144,13,75,55,114,47
18,145,12,74,56,114,47
19,147,11,74,56,114,47
20,148,10,74,56,114,47
21,148,10,74,56,114,48
22,149,9,74,56,114,48
23,150,8,74,56,115,48
24,150,8,74,57,116,48
25,151,9,74,56,116,48
26,151,9,74,56,116,49
27,151,9,74,56,116,49
28,151,9,74,56,116,49
29,152,9,74,56,116,49
30,152,8,74,55,116,49
31,153,8,74,55,115,50
32,154,7,75,54,115,50
33,154,7,75,54,114,50
34,155,6,75,54,113,50
35,155,6,75,54,113,50
36,156,5,75,54,113,50
37,156,6,74,54,113,49
38,156,6,74,54,113,50
39,155,7,74,54,113,50
40,154,7,74,54,113,49
41,153,8,73,54,113,49
42,152,9,72,55,113,49
43,151,9,72,55,114,48
44,149,10,72,55,114,48
45,147,11,71,55,115,47
46,145,13,71,55,115,47
47,143,14,71,56,114,47
48,141,15,71,56,114,47
49,141,15,71,56,114,47
50,138,17,71,56,114,47
51,137,18,70,56,114,47
52,137,18,71,56,114,47
53,135,19,70,56,113,47
54,135,20,70,56,113,48
55,134,21,70,56,113,48
56,134,21,70,56,113,48
57,134,21,70,56,113,48
58,134,22,70,56,113,48
59,133,22,70,56,113,48
60,134,22,70,56,113,48
61,134,21,70,55,113,48
62,134,21,70,55,113,47
63,134,20,70,55,113,47
64,136,18,71,55,113,47
65,137,17,71,55,113,47
66,137,16,72,55,113,47
67,137,15,72,55,113,47
68,137,15,72,55,113,47
69,138,15,72,55,113,47
70,138,15,72,55,113,47
71,138,15,72,55,113,47
72,138,14,73,55,113,47
73,139,14,72,55,113,47
74,138,15,72,56,113,48
75,138,16,72,56,112,48
76,140,15,72,56,111,48
77,140,14,72,56,111,48
78,142,13,71,57,111,48
79,142,13,72,56,112,49
80,143,12,71,56,111,49
81,145,10,72,56,111,49
82,145,9,71,56,110,49
83,145,9,71,56,110,49
84,146,8,72,56,110,49
85,147,7,72,56,110,49
86,147,7,72,56,111,49
87,147,7,72,56,111,49
88,147,6,72,56,111,49
