GAGE,FLOW,LAG_TO_LFALL,PCT_OF_STREAM_LENGTH,LAG
POR_1,500,30,0.15,4.5
POR_1,2500,24,0.15,3.6
POR_1,5000,18,0.15,2.7
POR_1,12500,12,0.15,1.8
POR_1,20000,9,0.15,1.35
POR_2,500,30,0.26,7.8
POR_2,2500,24,0.26,6.24
POR_2,5000,18,0.26,4.68
POR_2,12500,12,0.26,3.12
POR_2,20000,9,0.26,2.34
POR_3,500,30,0.19,5.7
POR_3,2500,24,0.19,4.56
POR_3,5000,18,0.19,3.42
POR_3,12500,12,0.19,2.28
POR_3,20000,9,0.19,1.71
POR_4,500,30,0.41,12.3
POR_4,2500,24,0.41,9.84
POR_4,5000,18,0.41,7.38
POR_4,12500,12,0.41,4.92
POR_4,20000,9,0.41,3.69
MON_JUG,100,30,1,30
MON_JUG,1000,24,1,24
MON_JUG,2500,18,1,18
MON_JUG,5000,9,1,9
GOOSE,500,18,1,18
GOOSE,2000,12,1,12
GOOSE,5000,6,1,6
SENECA,50,12,1,12
SENECA,500,6,1,6
SENECA,1500,3,1,3
