agency,site,date_time,flow,comments
USGS,conoco,2017-05-01T00:00:00Z,352,
USGS,conoco,2017-05-02T00:00:00Z,323,
USGS,conoco,2017-05-03T00:00:00Z,307,
USGS,conoco,2017-05-04T00:00:00Z,288,
USGS,conoco,2017-05-05T00:00:00Z,2460,
USGS,conoco,2017-05-06T00:00:00Z,4560,
USGS,conoco,2017-05-07T00:00:00Z,2510,
USGS,conoco,2017-05-08T00:00:00Z,1720,
USGS,conoco,2017-05-09T00:00:00Z,1340,
USGS,conoco,2017-05-10T00:00:00Z,1100,
USGS,conoco,2017-05-11T00:00:00Z,1110,
USGS,conoco,2017-05-12T00:00:00Z,1400,
USGS,conoco,2017-05-13T00:00:00Z,1200,
USGS,conoco,2017-05-14T00:00:00Z,1150,
USGS,conoco,2017-05-15T00:00:00Z,964,
USGS,conoco,2017-05-16T00:00:00Z,831,
USGS,conoco,2017-05-17T00:00:00Z,734,
USGS,conoco,2017-05-18T00:00:00Z,657,
USGS,conoco,2017-05-19T00:00:00Z,587,
USGS,conoco,2017-05-20T00:00:00Z,534,
USGS,conoco,2017-05-21T00:00:00Z,500,
USGS,conoco,2017-05-22T00:00:00Z,471,
USGS,conoco,2017-05-23T00:00:00Z,449,
USGS,conoco,2017-05-24T00:00:00Z,443,
USGS,conoco,2017-05-25T00:00:00Z,859,
USGS,conoco,2017-05-26T00:00:00Z,1090,
USGS,conoco,2017-05-27T00:00:00Z,782,
USGS,conoco,2017-05-28T00:00:00Z,712,
USGS,conoco,2017-05-29T00:00:00Z,1100,
USGS,conoco,2017-05-30T00:00:00Z,925,
USGS,conoco,2017-05-31T00:00:00Z,1500,
USGS,conoco,2017-06-01T00:00:00Z,1120,
USGS,conoco,2017-06-02T00:00:00Z,856,
USGS,conoco,2017-06-03T00:00:00Z,710,
USGS,conoco,2017-06-04T00:00:00Z,612,
USGS,conoco,2017-06-05T00:00:00Z,561,
USGS,conoco,2017-06-06T00:00:00Z,537,
USGS,conoco,2017-06-07T00:00:00Z,483,
