agency,site,date_time,flow,comments
USGS,luke,2017-08-12T00:00:00Z,600,
USGS,barton,2017-10-02T00:00:00Z,3.31,
USGS,barton,2017-09-30T00:00:00Z,3.39,
USGS,barton,2017-10-01T00:00:00Z,3.4,
USGS,barton,2017-09-29T00:00:00Z,3.47,
USGS,barton,2017-09-28T00:00:00Z,3.54,
USGS,barton,2017-09-27T00:00:00Z,3.73,
USGS,barton,2017-09-26T00:00:00Z,3.76,
USGS,barton,2017-09-25T00:00:00Z,3.89,
USGS,barton,2017-09-24T00:00:00Z,3.97,
USGS,barton,2017-09-23T00:00:00Z,4.26,
USGS,barton,2017-09-22T00:00:00Z,4.49,
USGS,barton,2017-09-21T00:00:00Z,4.75,
USGS,barton,2017-09-20T00:00:00Z,4.93,
USGS,barton,2017-09-19T00:00:00Z,5.24,
USGS,barton,2017-09-18T00:00:00Z,5.25,
USGS,barton,2017-09-17T00:00:00Z,5.55,
USGS,barton,2017-09-16T00:00:00Z,5.92,
USGS,barton,2017-09-15T00:00:00Z,6.03,
USGS,barton,2017-09-13T00:00:00Z,6.06,
USGS,barton,2017-09-14T00:00:00Z,6.22,
USGS,barton,2017-09-12T00:00:00Z,6.38,
USGS,barton,2017-09-11T00:00:00Z,6.72,
USGS,barton,2017-09-01T00:00:00Z,7.75,
USGS,barton,2017-09-10T00:00:00Z,7.88,
USGS,barton,2017-09-02T00:00:00Z,8.21,
USGS,barton,2017-08-31T00:00:00Z,8.23,
USGS,barton,2017-09-04T00:00:00Z,8.41,
USGS,barton,2017-08-29T00:00:00Z,8.75,
USGS,barton,2017-08-30T00:00:00Z,8.78,
USGS,barton,2017-09-09T00:00:00Z,9.05,
USGS,barton,2017-08-28T00:00:00Z,9.07,
USGS,barton,2017-09-03T00:00:00Z,9.37,
USGS,barton,2017-08-27T00:00:00Z,9.64,
USGS,barton,2017-09-05T00:00:00Z,9.73,
USGS,barton,2017-08-26T00:00:00Z,10.2,
USGS,barton,2017-09-08T00:00:00Z,10.4,
USGS,barton,2017-07-21T00:00:00Z,10.5,
USGS,barton,2017-08-25T00:00:00Z,10.9,
USGS,barton,2017-07-20T00:00:00Z,11.6,
USGS,barton,2017-08-22T00:00:00Z,12.4,
USGS,barton,2017-08-24T00:00:00Z,12.8,
USGS,barton,2017-07-19T00:00:00Z,13.1,
USGS,barton,2017-08-21T00:00:00Z,13.6,
USGS,barton,2017-09-07T00:00:00Z,14.1,
USGS,barton,2017-06-13T00:00:00Z,14.3,
USGS,barton,2017-07-18T00:00:00Z,15.4,
USGS,barton,2017-06-12T00:00:00Z,15.7,
USGS,barton,2017-08-20T00:00:00Z,15.9,
USGS,barton,2017-07-04T00:00:00Z,16.2,
USGS,barton,2017-07-13T00:00:00Z,16.7,
USGS,barton,2017-06-11T00:00:00Z,17.7,
USGS,barton,2017-08-19T00:00:00Z,17.9,
USGS,barton,2017-06-14T00:00:00Z,18.1,
USGS,barton,2017-07-03T00:00:00Z,18.8,
USGS,barton,2017-07-12T00:00:00Z,18.8,
USGS,barton,2017-07-17T00:00:00Z,18.8,
USGS,barton,2017-08-23T00:00:00Z,18.9,
USGS,barton,2017-08-18T00:00:00Z,19,
USGS,barton,2017-07-10T00:00:00Z,19.6,
USGS,barton,2017-07-27T00:00:00Z,20,
USGS,barton,2017-07-14T00:00:00Z,20.7,
USGS,barton,2017-07-06T00:00:00Z,20.8,
USGS,barton,2017-08-17T00:00:00Z,21.2,
USGS,barton,2017-06-10T00:00:00Z,21.3,
USGS,barton,2017-07-05T00:00:00Z,21.6,
USGS,barton,2017-09-06T00:00:00Z,22.6,
USGS,barton,2017-07-02T00:00:00Z,23.2,
USGS,barton,2017-07-26T00:00:00Z,23.6,
USGS,barton,2017-07-16T00:00:00Z,24.9,
USGS,barton,2017-07-11T00:00:00Z,25.3,
USGS,barton,2017-06-09T00:00:00Z,25.6,
USGS,barton,2017-07-09T00:00:00Z,26.6,
USGS,barton,2017-08-16T00:00:00Z,27,
USGS,barton,2017-07-01T00:00:00Z,28.3,
USGS,barton,2017-07-22T00:00:00Z,29.2,
USGS,barton,2017-06-07T00:00:00Z,31.5,
USGS,barton,2017-07-25T00:00:00Z,31.7,
USGS,barton,2017-08-15T00:00:00Z,33,
USGS,barton,2017-06-08T00:00:00Z,33.3,
USGS,goose,2017-10-02T00:00:00Z,33.7,
USGS,barton,2017-06-06T00:00:00Z,33.7,
USGS,barton,2017-06-30T00:00:00Z,33.7,
USGS,barton,2017-07-08T00:00:00Z,34,
USGS,goose,2017-10-01T00:00:00Z,35.1,
USGS,barton,2017-06-05T00:00:00Z,35.1,
USGS,barton,2017-06-22T00:00:00Z,35.7,
USGS,barton,2017-07-15T00:00:00Z,35.7,
USGS,goose,2017-09-30T00:00:00Z,36.8,
USGS,barton,2017-06-04T00:00:00Z,37.2,
USGS,barton,2017-08-14T00:00:00Z,37.4,
USGS,goose,2017-09-29T00:00:00Z,37.8,
USGS,barton,2017-05-23T00:00:00Z,38,
USGS,barton,2017-06-21T00:00:00Z,41,
USGS,barton,2017-07-24T00:00:00Z,41.4,
USGS,barton,2017-05-24T00:00:00Z,41.5,
USGS,goose,2017-09-28T00:00:00Z,42,
USGS,barton,2017-06-29T00:00:00Z,42,
USGS,barton,2017-05-22T00:00:00Z,43.1,
USGS,barton,2017-06-15T00:00:00Z,43.4,
USGS,seneca,2017-09-29T00:00:00Z,44,
USGS,barton,2017-07-28T00:00:00Z,44.2,
USGS,seneca,2017-10-02T00:00:00Z,44.2,
USGS,barton,2017-08-13T00:00:00Z,44.3,
USGS,seneca,2017-10-01T00:00:00Z,44.6,
USGS,goose,2017-09-27T00:00:00Z,44.8,
USGS,seneca,2017-09-28T00:00:00Z,45,
USGS,seneca,2017-07-16T00:00:00Z,45.1,
USGS,seneca,2017-09-30T00:00:00Z,45.1,
USGS,barton,2017-06-03T00:00:00Z,45.2,
USGS,seneca,2017-07-13T00:00:00Z,46.4,
USGS,goose,2017-09-26T00:00:00Z,47.2,
USGS,seneca,2017-07-12T00:00:00Z,47.5,
USGS,seneca,2017-09-27T00:00:00Z,47.7,
USGS,goose,2017-09-25T00:00:00Z,48.3,
USGS,barton,2017-07-07T00:00:00Z,48.8,
USGS,seneca,2017-07-21T00:00:00Z,49,
USGS,seneca,2017-09-26T00:00:00Z,49.6,
USGS,barton,2017-05-21T00:00:00Z,49.8,
USGS,seneca,2017-09-21T00:00:00Z,49.8,
USGS,seneca,2017-09-24T00:00:00Z,49.8,
USGS,seneca,2017-07-14T00:00:00Z,50,
USGS,seneca,2017-06-30T00:00:00Z,50.1,
USGS,seneca,2017-09-20T00:00:00Z,50.3,
