unique_id,supplier,location,day,time,measurement,today,value,units
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-01,145.741,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-02,144.87,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-03,117.262,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-04,128.592,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-05,142.586,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-06,94.901,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-07,115.044,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-08,112.993,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-09,117.695,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-10,120.804,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-11,147.678,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-12,154.296,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-13,126.539,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-14,101.295,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-15,117.641,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-16,113.618,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-17,120.166,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-18,117.213,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-19,128.559,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-05-20,120.855,MGD
