unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/1/2017,yesterday,NA,daily average withdrawals,5/2/2017,144.87,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/2/2017,yesterday,NA,daily average withdrawals,5/3/2017,117.262,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/3/2017,yesterday,NA,daily average withdrawals,5/4/2017,128.592,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/4/2017,yesterday,NA,daily average withdrawals,5/5/2017,142.586,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/5/2017,yesterday,NA,daily average withdrawals,5/6/2017,94.901,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/6/2017,yesterday,NA,daily average withdrawals,5/7/2017,115.044,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/7/2017,yesterday,NA,daily average withdrawals,5/8/2017,112.993,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/8/2017,yesterday,NA,daily average withdrawals,5/9/2017,117.695,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/9/2017,yesterday,NA,daily average withdrawals,5/10/2017,120.804,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/10/2017,yesterday,NA,daily average withdrawals,5/11/2017,147.678,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/11/2017,yesterday,NA,daily average withdrawals,5/12/2017,154.296,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/12/2017,yesterday,NA,daily average withdrawals,5/13/2017,126.539,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/13/2017,yesterday,NA,daily average withdrawals,5/14/2017,101.295,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/14/2017,yesterday,NA,daily average withdrawals,5/15/2017,117.641,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/15/2017,yesterday,NA,daily average withdrawals,5/16/2017,113.618,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/16/2017,yesterday,NA,daily average withdrawals,5/17/2017,120.166,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/17/2017,yesterday,NA,daily average withdrawals,5/18/2017,117.213,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/18/2017,yesterday,NA,daily average withdrawals,5/19/2017,128.559,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/19/2017,yesterday,NA,daily average withdrawals,5/20/2017,120.855,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/20/2017,yesterday,NA,daily average withdrawals,5/21/2017,106.325,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/21/2017,yesterday,NA,daily average withdrawals,5/22/2017,105.889,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/22/2017,yesterday,NA,daily average withdrawals,5/23/2017,100.571,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/23/2017,yesterday,NA,daily average withdrawals,5/24/2017,103.588,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/24/2017,yesterday,NA,daily average withdrawals,5/25/2017,104.407,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/25/2017,yesterday,NA,daily average withdrawals,5/26/2017,103.211,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/26/2017,yesterday,NA,daily average withdrawals,5/27/2017,95.007,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/27/2017,yesterday,NA,daily average withdrawals,5/28/2017,104.94,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/28/2017,yesterday,NA,daily average withdrawals,5/29/2017,99.354,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/29/2017,yesterday,NA,daily average withdrawals,5/30/2017,102.505,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/30/2017,yesterday,NA,daily average withdrawals,5/31/2017,145.171,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,5/31/2017,yesterday,NA,daily average withdrawals,6/1/2017,149.951,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/1/2017,yesterday,NA,daily average withdrawals,6/2/2017,167.126,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/2/2017,yesterday,NA,daily average withdrawals,6/3/2017,131.605,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/3/2017,yesterday,NA,daily average withdrawals,6/4/2017,106.667,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/4/2017,yesterday,NA,daily average withdrawals,6/5/2017,124.7,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/5/2017,yesterday,NA,daily average withdrawals,6/6/2017,126.58,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/6/2017,yesterday,NA,daily average withdrawals,6/7/2017,102.162,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/7/2017,yesterday,NA,daily average withdrawals,6/8/2017,106.445,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/8/2017,yesterday,NA,daily average withdrawals,6/9/2017,106.553,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/9/2017,yesterday,NA,daily average withdrawals,6/10/2017,112.626,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/10/2017,yesterday,NA,daily average withdrawals,6/11/2017,124.196,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/11/2017,yesterday,NA,daily average withdrawals,6/12/2017,125.379,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/12/2017,yesterday,NA,daily average withdrawals,6/13/2017,135.742,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/13/2017,yesterday,NA,daily average withdrawals,6/14/2017,135.428,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/14/2017,yesterday,NA,daily average withdrawals,6/15/2017,124.28,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/15/2017,yesterday,NA,daily average withdrawals,6/16/2017,125.421,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/16/2017,yesterday,NA,daily average withdrawals,6/17/2017,134.267,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/17/2017,yesterday,NA,daily average withdrawals,6/18/2017,130.76,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/18/2017,yesterday,NA,daily average withdrawals,6/19/2017,141.311,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/19/2017,yesterday,NA,daily average withdrawals,6/20/2017,141.654,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/20/2017,yesterday,NA,daily average withdrawals,6/21/2017,115.462,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/21/2017,yesterday,NA,daily average withdrawals,6/22/2017,137.218,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/22/2017,yesterday,NA,daily average withdrawals,6/23/2017,130.077,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/23/2017,yesterday,NA,daily average withdrawals,6/24/2017,144.066,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/24/2017,yesterday,NA,daily average withdrawals,6/25/2017,128.447,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/25/2017,yesterday,NA,daily average withdrawals,6/26/2017,128.417,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/26/2017,yesterday,NA,daily average withdrawals,6/27/2017,144.854,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/27/2017,yesterday,NA,daily average withdrawals,6/28/2017,148.753,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/28/2017,yesterday,NA,daily average withdrawals,6/29/2017,132.313,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/29/2017,yesterday,NA,daily average withdrawals,6/30/2017,146.41,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,6/30/2017,yesterday,NA,daily average withdrawals,7/1/2017,141.86,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/1/2017,yesterday,NA,daily average withdrawals,7/2/2017,134.05,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/2/2017,yesterday,NA,daily average withdrawals,7/3/2017,130.634,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/3/2017,yesterday,NA,daily average withdrawals,7/4/2017,138.544,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/4/2017,yesterday,NA,daily average withdrawals,7/5/2017,150.664,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/5/2017,yesterday,NA,daily average withdrawals,7/6/2017,131.525,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/6/2017,yesterday,NA,daily average withdrawals,7/7/2017,138.078,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/7/2017,yesterday,NA,daily average withdrawals,7/8/2017,137.662,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/8/2017,yesterday,NA,daily average withdrawals,7/9/2017,145.832,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/9/2017,yesterday,NA,daily average withdrawals,7/10/2017,153.279,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/10/2017,yesterday,NA,daily average withdrawals,7/11/2017,156.33,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/11/2017,yesterday,NA,daily average withdrawals,7/12/2017,164.959,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/12/2017,yesterday,NA,daily average withdrawals,7/13/2017,153.248,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/13/2017,yesterday,NA,daily average withdrawals,7/14/2017,159.223,MGD,NA
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,7/14/2017,yesterday,NA,daily average withdrawals,7/15/2017,151.171,MGD,NA
