date_time,stage,flow,type
2017-09-08 17:45,1.72ft ,3.27kcfs,observed
2017-09-08 17:30,1.72ft ,3.27kcfs,observed
2017-09-08 17:15,1.72ft ,3.27kcfs,observed
2017-09-08 17:00,1.73ft ,3.3kcfs,observed
2017-09-08 16:45,1.73ft ,3.3kcfs,observed
2017-09-08 16:30,1.74ft ,3.32kcfs,observed
2017-09-08 16:15,1.74ft ,3.32kcfs,observed
2017-09-08 16:00,1.74ft ,3.32kcfs,observed
2017-09-08 15:45,1.75ft ,3.35kcfs,observed
2017-09-08 15:30,1.75ft ,3.35kcfs,observed
2017-09-08 15:15,1.76ft ,3.38kcfs,observed
2017-09-08 15:00,1.76ft ,3.38kcfs,observed
2017-09-08 14:45,1.77ft ,3.41kcfs,observed
2017-09-08 14:30,1.77ft ,3.41kcfs,observed
2017-09-08 14:15,1.77ft ,3.41kcfs,observed
2017-09-08 14:00,1.78ft ,3.43kcfs,observed
2017-09-08 13:45,1.78ft ,3.43kcfs,observed
2017-09-08 13:30,1.78ft ,3.43kcfs,observed
2017-09-08 13:15,1.79ft ,3.46kcfs,observed
2017-09-08 13:00,1.79ft ,3.46kcfs,observed
2017-09-08 12:45,1.79ft ,3.46kcfs,observed
2017-09-08 12:30,1.80ft ,3.49kcfs,observed
2017-09-08 12:15,1.80ft ,3.49kcfs,observed
2017-09-08 12:00,1.80ft ,3.49kcfs,observed
2017-09-08 11:45,1.81ft ,3.52kcfs,observed
2017-09-08 11:30,1.81ft ,3.52kcfs,observed
2017-09-08 11:15,1.81ft ,3.52kcfs,observed
2017-09-08 11:00,1.81ft ,3.52kcfs,observed
2017-09-08 10:45,1.82ft ,3.54kcfs,observed
2017-09-08 10:30,1.82ft ,3.54kcfs,observed
2017-09-08 10:15,1.82ft ,3.54kcfs,observed
2017-09-08 10:00,1.82ft ,3.54kcfs,observed
2017-09-08 9:45,1.82ft ,3.54kcfs,observed
2017-09-08 9:30,1.83ft ,3.57kcfs,observed
2017-09-08 9:15,1.83ft ,3.57kcfs,observed
2017-09-08 9:00,1.83ft ,3.57kcfs,observed
2017-09-08 8:45,1.83ft ,3.57kcfs,observed
2017-09-08 8:30,1.83ft ,3.57kcfs,observed
2017-09-08 8:15,1.83ft ,3.57kcfs,observed
2017-09-08 8:00,1.83ft ,3.57kcfs,observed
2017-09-08 7:45,1.83ft ,3.57kcfs,observed
2017-09-08 7:30,1.84ft ,3.6kcfs,observed
2017-09-08 7:15,1.84ft ,3.6kcfs,observed
2017-09-08 7:00,1.84ft ,3.6kcfs,observed
2017-09-08 6:45,1.84ft ,3.6kcfs,observed
2017-09-08 6:30,1.84ft ,3.6kcfs,observed
2017-09-08 6:15,1.84ft ,3.6kcfs,observed
2017-09-08 6:00,1.84ft ,3.6kcfs,observed
2017-09-08 5:45,1.84ft ,3.6kcfs,observed
2017-09-08 5:30,1.84ft ,3.6kcfs,observed
2017-09-08 5:15,1.84ft ,3.6kcfs,observed
2017-09-08 5:00,1.84ft ,3.6kcfs,observed
2017-09-08 4:45,1.83ft ,3.57kcfs,observed
2017-09-08 4:30,1.83ft ,3.57kcfs,observed
2017-09-08 4:15,1.83ft ,3.57kcfs,observed
2017-09-08 4:00,1.83ft ,3.57kcfs,observed
