agency,site,date_time,qual_code,timezone,flow,wuql_code,comments
USGS,conoco,1999-05-01T04:00:00Z,A,EST,596,,
USGS,conoco,1999-05-02T04:00:00Z,A,EST,555,,
USGS,conoco,1999-05-03T04:00:00Z,A,EST,517,,
USGS,conoco,1999-05-04T04:00:00Z,A,EST,501,,
USGS,conoco,1999-05-05T04:00:00Z,A,EST,475,,
USGS,conoco,1999-05-06T04:00:00Z,A,EST,450,,
USGS,conoco,1999-05-07T04:00:00Z,A,EST,435,,
USGS,conoco,1999-05-08T04:00:00Z,A,EST,780,,
USGS,conoco,1999-05-09T04:00:00Z,A,EST,984,,
USGS,conoco,1999-05-10T04:00:00Z,A,EST,702,,
USGS,conoco,1999-05-11T04:00:00Z,A,EST,590,,
USGS,conoco,1999-05-12T04:00:00Z,A,EST,527,,
USGS,conoco,1999-05-13T04:00:00Z,A,EST,552,,
USGS,conoco,1999-05-14T04:00:00Z,A,EST,555,,
USGS,conoco,1999-05-15T04:00:00Z,A,EST,470,,
USGS,conoco,1999-05-16T04:00:00Z,A,EST,429,,
USGS,conoco,1999-05-17T04:00:00Z,A,EST,404,,
USGS,conoco,1999-05-18T04:00:00Z,A,EST,384,,
USGS,conoco,1999-05-19T04:00:00Z,A,EST,369,,
USGS,conoco,1999-05-20T04:00:00Z,A,EST,345,,
USGS,conoco,1999-05-21T04:00:00Z,A,EST,319,,
USGS,conoco,1999-05-22T04:00:00Z,A,EST,304,,
USGS,conoco,1999-05-23T04:00:00Z,A,EST,310,,
USGS,conoco,1999-05-24T04:00:00Z,A,EST,325,,
USGS,conoco,1999-05-25T04:00:00Z,A,EST,315,,
USGS,conoco,1999-05-26T04:00:00Z,A,EST,284,,
USGS,conoco,1999-05-27T04:00:00Z,A,EST,263,,
USGS,conoco,1999-05-28T04:00:00Z,A,EST,247,,
USGS,conoco,1999-05-29T04:00:00Z,A,EST,233,,
USGS,conoco,1999-05-30T04:00:00Z,A,EST,220,,
USGS,conoco,1999-05-31T04:00:00Z,A,EST,206,,
USGS,conoco,1999-06-01T04:00:00Z,A,EST,200,,
USGS,conoco,1999-06-02T04:00:00Z,A,EST,208,,
USGS,conoco,1999-06-03T04:00:00Z,A,EST,312,,
USGS,conoco,1999-06-04T04:00:00Z,A,EST,284,,
USGS,conoco,1999-06-05T04:00:00Z,A,EST,223,,
USGS,conoco,1999-06-06T04:00:00Z,A,EST,200,,
USGS,conoco,1999-06-07T04:00:00Z,A,EST,189,,
USGS,conoco,1999-06-08T04:00:00Z,A,EST,183,,
USGS,conoco,1999-06-09T04:00:00Z,A,EST,175,,
USGS,conoco,1999-06-10T04:00:00Z,A,EST,169,,
USGS,conoco,1999-06-11T04:00:00Z,A,EST,159,,
USGS,conoco,1999-06-12T04:00:00Z,A,EST,156,,
USGS,conoco,1999-06-13T04:00:00Z,A,EST,154,,
USGS,conoco,1999-06-14T04:00:00Z,A,EST,158,,
USGS,conoco,1999-06-15T04:00:00Z,A,EST,188,,
USGS,conoco,1999-06-16T04:00:00Z,A,EST,163,,
USGS,conoco,1999-06-17T04:00:00Z,A,EST,163,,
USGS,conoco,1999-06-18T04:00:00Z,A,EST,221,,
USGS,conoco,1999-06-19T04:00:00Z,A,EST,186,,
USGS,conoco,1999-06-20T04:00:00Z,A,EST,165,,
