agency,site,date_time,qual_code,timezone,flow,wuql_code,comments
USGS,conoco,2017-05-01,A,EST,596,NA,NA
USGS,conoco,2017-05-02,A,EST,555,NA,NA
USGS,conoco,2017-05-03,A,EST,517,NA,NA
USGS,conoco,2017-05-04,A,EST,501,NA,NA
USGS,conoco,2017-05-05,A,EST,475,NA,NA
USGS,conoco,2017-05-06,A,EST,450,NA,NA
USGS,conoco,2017-05-07,A,EST,435,NA,NA
USGS,conoco,2017-05-08,A,EST,780,NA,NA
USGS,conoco,2017-05-09,A,EST,984,NA,NA
USGS,conoco,2017-05-10,A,EST,702,NA,NA
USGS,conoco,2017-05-11,A,EST,590,NA,NA
USGS,conoco,2017-05-12,A,EST,527,NA,NA
USGS,conoco,2017-05-13,A,EST,552,NA,NA
USGS,conoco,2017-05-14,A,EST,555,NA,NA
USGS,conoco,2017-05-15,A,EST,470,NA,NA
USGS,conoco,2017-05-16,A,EST,429,NA,NA
USGS,conoco,2017-05-17,A,EST,404,NA,NA
USGS,conoco,2017-05-18,A,EST,384,NA,NA
USGS,conoco,2017-05-19,A,EST,369,NA,NA
USGS,conoco,2017-05-20,A,EST,345,NA,NA
USGS,conoco,2017-05-21,A,EST,319,NA,NA
USGS,conoco,2017-05-22,A,EST,304,NA,NA
USGS,conoco,2017-05-23,A,EST,310,NA,NA
USGS,conoco,2017-05-24,A,EST,325,NA,NA
USGS,conoco,2017-05-25,A,EST,315,NA,NA
USGS,conoco,2017-05-26,A,EST,284,NA,NA
USGS,conoco,2017-05-27,A,EST,263,NA,NA
USGS,conoco,2017-05-28,A,EST,247,NA,NA
USGS,conoco,2017-05-29,A,EST,233,NA,NA
USGS,conoco,2017-05-30,A,EST,220,NA,NA
USGS,conoco,2017-05-31,A,EST,206,NA,NA
USGS,conoco,2017-06-01,A,EST,200,NA,NA
USGS,conoco,2017-06-02,A,EST,208,NA,NA
USGS,conoco,2017-06-03,A,EST,312,NA,NA
USGS,conoco,2017-06-04,A,EST,284,NA,NA
USGS,conoco,2017-06-05,A,EST,223,NA,NA
