Row Labels,Count of flow,,Datetime,L Falls,POR
barton,2205,,1999-05-01 0:00,7590,6255
bloomington,2954,,1999-05-01 1:00,7590,6200
conoco,2953,,1999-05-01 2:00,7590,6150
goose,2953,,1999-05-01 3:00,7590,6100
hanc,2953,,1999-05-01 4:00,7545,6085
lfalls,2953,,1999-05-01 5:00,7475,6050
luke,2953,,1999-05-01 6:00,7400,6015
mon_jug,2952,,1999-05-01 7:00,7400,6000
NA,3,,1999-05-01 8:00,7377.5,6000
nbp_cumb,2953,,1999-05-01 9:00,7332.5,6000
opequan,2785,,1999-05-01 10:00,7332.5,6000
paw,2953,,1999-05-01 11:00,7242.5,6030
por,2428,,1999-05-01 12:00,7220,6000
seneca,2953,,1999-05-01 13:00,7220,6000
shen_mill,2953,,1999-05-01 14:00,7152.5,6000
Grand Total,39904,,1999-05-01 15:00,7110,6000
,,,1999-05-01 16:00,7050,5985
,,,1999-05-01 17:00,7027.5,5970
,,,1999-05-01 18:00,6960,5915
,,,1999-05-01 19:00,6960,5885
,,,1999-05-01 20:00,6937.5,5815
,,,1999-05-01 21:00,6870,5785
,,,1999-05-01 22:00,6870,5740
,,,1999-05-01 23:00,6870,5685
,,,1999-05-02 0:00,6870,5670
,,,1999-05-02 1:00,6780,5670
,,,1999-05-02 2:00,6780,5640
,,,1999-05-02 3:00,6712.5,5620
,,,1999-05-02 4:00,6690,5600
,,,1999-05-02 5:00,6690,5585
,,,1999-05-02 6:00,6690,5570
,,,1999-05-02 7:00,6650,5570
,,,1999-05-02 8:00,6607.5,5570
,,,1999-05-02 9:00,6610,5570
,,,1999-05-02 10:00,6542.5,5570
,,,1999-05-02 11:00,6520,5570
,,,1999-05-02 12:00,6500,5555
,,,1999-05-02 13:00,6440,5540
,,,1999-05-02 14:00,6372.5,5540
,,,1999-05-02 15:00,6350,5525
,,,1999-05-02 16:00,6350,5510
,,,1999-05-02 17:00,6270,5525
,,,1999-05-02 18:00,6270,5540
,,,1999-05-02 19:00,6270,5540
,,,1999-05-02 20:00,6270,5540
,,,1999-05-02 21:00,6270,5510
,,,1999-05-02 22:00,6270,5490
,,,1999-05-02 23:00,6230,5470
,,,1999-05-03 0:00,6190,5425
,,,1999-05-03 1:00,6190,5395
,,,1999-05-03 2:00,6100,5360
,,,1999-05-03 3:00,6080,5340
,,,1999-05-03 4:00,6060,5295
,,,1999-05-03 5:00,6100,5265
,,,1999-05-03 6:00,6060,5250
,,,1999-05-03 7:00,6060,5195
,,,1999-05-03 8:00,6060,5165
,,,1999-05-03 9:00,6020,5150
,,,1999-05-03 10:00,6020,5150
,,,1999-05-03 11:00,6040,5135
,,,1999-05-03 12:00,6020,5120
,,,1999-05-03 13:00,6020,5120
,,,1999-05-03 14:00,6020,5120
,,,1999-05-03 15:00,6020,5105
,,,1999-05-03 16:00,6020,5090
,,,1999-05-03 17:00,5960,5090
,,,1999-05-03 18:00,6020,5090
,,,1999-05-03 19:00,6020,5090
,,,1999-05-03 20:00,5940,5090
,,,1999-05-03 21:00,5880,5090
,,,1999-05-03 22:00,5860,5090
,,,1999-05-03 23:00,5860,5105
,,,1999-05-04 0:00,5860,5150
,,,1999-05-04 1:00,5840,5150
,,,1999-05-04 2:00,5780,5150
,,,1999-05-04 3:00,5760,5165
,,,1999-05-04 4:00,5760,5150
,,,1999-05-04 5:00,5760,5150
,,,1999-05-04 6:00,5700,5150
,,,1999-05-04 7:00,5680,5150
,,,1999-05-04 8:00,5700,5150
,,,1999-05-04 9:00,5700,5120
,,,1999-05-04 10:00,5680,5120
,,,1999-05-04 11:00,5700,5120
,,,1999-05-04 12:00,5700,5120
,,,1999-05-04 13:00,5700,5120
,,,1999-05-04 14:00,5700,5090
,,,1999-05-04 15:00,5700,5060
,,,1999-05-04 16:00,5640,5030
,,,1999-05-04 17:00,5580,5000
,,,1999-05-04 18:00,5540,4985
,,,1999-05-04 19:00,5540,4955
,,,1999-05-04 20:00,5540,4910
,,,1999-05-04 21:00,5540,4880
,,,1999-05-04 22:00,5540,4850
,,,1999-05-04 23:00,5540,4850
,,,1999-05-05 0:00,5540,4865
,,,1999-05-05 1:00,5540,4880
,,,1999-05-05 2:00,5540,4910
,,,1999-05-05 3:00,5540,4910
,,,1999-05-05 4:00,5540,4940
,,,1999-05-05 5:00,5540,4940
,,,1999-05-05 6:00,5540,4940
,,,1999-05-05 7:00,5540,4925
,,,1999-05-05 8:00,5540,4910
,,,1999-05-05 9:00,5540,4910
,,,1999-05-05 10:00,5487.5,4910
,,,1999-05-05 11:00,5470,4910
,,,1999-05-05 12:00,5450,4910
,,,1999-05-05 13:00,5390,4910
,,,1999-05-05 14:00,5390,4880
,,,1999-05-05 15:00,5330,4865
,,,1999-05-05 16:00,5310,4835
,,,1999-05-05 17:00,5275,4805
,,,1999-05-05 18:00,5240,4790
,,,1999-05-05 19:00,5297.5,4760
,,,1999-05-05 20:00,5470,4730
,,,1999-05-05 21:00,5470,4715
,,,1999-05-05 22:00,5470,4685
,,,1999-05-05 23:00,5277.5,4670
,,,1999-05-06 0:00,5160,4640
,,,1999-05-06 1:00,5160,4610
,,,1999-05-06 2:00,5180,4580
,,,1999-05-06 3:00,5240,4565
,,,1999-05-06 4:00,5352.5,4550
,,,1999-05-06 5:00,5390,4520
,,,1999-05-06 6:00,5390,4520
,,,1999-05-06 7:00,5350,4520
,,,1999-05-06 8:00,5310,4490
,,,1999-05-06 9:00,5310,4490
,,,1999-05-06 10:00,5240,4490
,,,1999-05-06 11:00,5240,4490
,,,1999-05-06 12:00,5220,4490
,,,1999-05-06 13:00,5160,4490
,,,1999-05-06 14:00,5160,4520
,,,1999-05-06 15:00,5107.5,4505
,,,1999-05-06 16:00,5090,4490
,,,1999-05-06 17:00,5090,4490
,,,1999-05-06 18:00,5063.333333,4490
,,,1999-05-06 19:00,4920,4460
,,,1999-05-06 20:00,4860,4430
,,,1999-05-06 21:00,4790,4430
,,,1999-05-06 22:00,4790,4430
