unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-01T05:00:00Z,yesterday,NA,daily average withdrawals,1/2/1999,115.736,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-02T05:00:00Z,yesterday,NA,daily average withdrawals,1/3/1999,117.439,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-03T05:00:00Z,yesterday,NA,daily average withdrawals,1/4/1999,112.414,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-04T05:00:00Z,yesterday,NA,daily average withdrawals,1/5/1999,112.538,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-05T05:00:00Z,yesterday,NA,daily average withdrawals,1/6/1999,119.479,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-06T05:00:00Z,yesterday,NA,daily average withdrawals,1/7/1999,116.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-07T05:00:00Z,yesterday,NA,daily average withdrawals,1/8/1999,108.158,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-08T05:00:00Z,yesterday,NA,daily average withdrawals,1/9/1999,118.636,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-09T05:00:00Z,yesterday,NA,daily average withdrawals,1/10/1999,125.198,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-10T05:00:00Z,yesterday,NA,daily average withdrawals,1/11/1999,112.203,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-11T05:00:00Z,yesterday,NA,daily average withdrawals,1/12/1999,110.042,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-12T05:00:00Z,yesterday,NA,daily average withdrawals,1/13/1999,96.708,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-13T05:00:00Z,yesterday,NA,daily average withdrawals,1/14/1999,114.356,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-14T05:00:00Z,yesterday,NA,daily average withdrawals,1/15/1999,112.408,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-15T05:00:00Z,yesterday,NA,daily average withdrawals,1/16/1999,107.96,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-16T05:00:00Z,yesterday,NA,daily average withdrawals,1/17/1999,112.674,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-17T05:00:00Z,yesterday,NA,daily average withdrawals,1/18/1999,110.008,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-18T05:00:00Z,yesterday,NA,daily average withdrawals,1/19/1999,102.562,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-19T05:00:00Z,yesterday,NA,daily average withdrawals,1/20/1999,111.257,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-20T05:00:00Z,yesterday,NA,daily average withdrawals,1/21/1999,100.073,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-21T05:00:00Z,yesterday,NA,daily average withdrawals,1/22/1999,105.838,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-22T05:00:00Z,yesterday,NA,daily average withdrawals,1/23/1999,105.401,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-23T05:00:00Z,yesterday,NA,daily average withdrawals,1/24/1999,108.849,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-24T05:00:00Z,yesterday,NA,daily average withdrawals,1/25/1999,109.954,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-25T05:00:00Z,yesterday,NA,daily average withdrawals,1/26/1999,106.18,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-26T05:00:00Z,yesterday,NA,daily average withdrawals,1/27/1999,104.798,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-27T05:00:00Z,yesterday,NA,daily average withdrawals,1/28/1999,101.799,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-28T05:00:00Z,yesterday,NA,daily average withdrawals,1/29/1999,106.72,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-29T05:00:00Z,yesterday,NA,daily average withdrawals,1/30/1999,117.866,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-30T05:00:00Z,yesterday,NA,daily average withdrawals,1/31/1999,101.081,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-01-31T05:00:00Z,yesterday,NA,daily average withdrawals,2/1/1999,102.877,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-01T05:00:00Z,yesterday,NA,daily average withdrawals,2/2/1999,101.529,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-02T05:00:00Z,yesterday,NA,daily average withdrawals,2/3/1999,98.983,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-03T05:00:00Z,yesterday,NA,daily average withdrawals,2/4/1999,100.908,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-04T05:00:00Z,yesterday,NA,daily average withdrawals,2/5/1999,106.592,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-05T05:00:00Z,yesterday,NA,daily average withdrawals,2/6/1999,110.453,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-06T05:00:00Z,yesterday,NA,daily average withdrawals,2/7/1999,111.46,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-07T05:00:00Z,yesterday,NA,daily average withdrawals,2/8/1999,113.85,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-08T05:00:00Z,yesterday,NA,daily average withdrawals,2/9/1999,106.002,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-09T05:00:00Z,yesterday,NA,daily average withdrawals,2/10/1999,91.31,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-10T05:00:00Z,yesterday,NA,daily average withdrawals,2/11/1999,100.334,MGD,
